Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
5376,0,0000000010010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5377,0,0000000010010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5378,0,0000000010010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5379,0,0000000010010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5380,0,0000000010010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5381,0,0000000010010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5382,0,0000000010010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5383,0,0000000010010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5384,0,0000000010010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5385,0,0000000010010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5386,0,0000000010010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5387,0,0000000010011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5388,0,0000000010011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5389,0,0000000010011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5390,0,0000000010011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5391,0,0000000010011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5392,0,0000000010011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5393,0,0000000010011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5394,0,0000000010011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5395,0,0000000010011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5396,0,0000000010011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5397,0,0000000010011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5398,0,0000000010011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5399,0,0000000010011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5400,0,0000000010011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5401,0,0000000010011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5402,0,0000000010011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5403,0,0000000010011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5404,0,0000000010011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5405,0,0000000010011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5406,0,0000000010011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
